customer_id,first_tx,last_tx,transaction_count,customer_tenure_days,avg_days_between_transactions,recency_days,recency_band,frequency_segment,total_spend,avg_transaction_value,value_segment,retention_priority,customer_segment,churned
87294160,2023-01-05,2023-12-25,17,354,22.125,4,Active (0-30 days),Low Frequency,8036350,472726.4705882353,Low Value,Healthy / Maintain,Regular Active,0
46268627,2023-03-22,2023-12-04,10,257,28.555555555555557,25,Active (0-30 days),Low Frequency,44557250,4455725.0,Regular Value,Healthy / Maintain,Regular Active,0
72745175,2023-01-06,2023-12-28,88,356,4.091954022988506,1,Active (0-30 days),Very High Frequency,51822000,588886.3636363636,High Value,Healthy / Maintain,Champions,0
57278684,2023-01-10,2023-12-21,41,345,8.625,8,Active (0-30 days),High Frequency,67574750,1648164.6341463414,High Value,Healthy / Maintain,Champions,0
70779108,2023-02-09,2023-12-25,12,319,29.0,4,Active (0-30 days),Low Frequency,64170450,5347537.5,High Value,Healthy / Maintain,Valuable Active,0
35782888,2023-01-08,2023-11-11,12,307,27.90909090909091,48,At Risk (31-60 days),Low Frequency,230797450,19233120.833333332,Very High Value,Re-engagement,At-Risk Valuable,0
72351977,2023-01-15,2023-12-20,14,339,26.076923076923077,9,Active (0-30 days),Low Frequency,24472250,1748017.857142857,Regular Value,Healthy / Maintain,Regular Active,0
24379629,2023-01-08,2023-12-27,13,353,29.416666666666668,2,Active (0-30 days),Low Frequency,101252250,7788634.615384615,High Value,Healthy / Maintain,Valuable Active,0
32506094,2023-01-08,2023-12-26,139,352,2.550724637681159,3,Active (0-30 days),Very High Frequency,252129800,1813883.4532374102,Very High Value,Healthy / Maintain,Champions,0
54919407,2023-01-05,2023-12-27,42,356,8.682926829268293,2,Active (0-30 days),High Frequency,60120850,1431448.8095238095,High Value,Healthy / Maintain,Champions,0
59769070,2023-01-06,2023-12-26,151,354,2.36,3,Active (0-30 days),Very High Frequency,278002300,1841074.834437086,Very High Value,Healthy / Maintain,Champions,0
33685747,2023-01-22,2023-12-29,13,341,28.416666666666668,0,Active (0-30 days),Low Frequency,24878950,1913765.3846153845,Regular Value,Healthy / Maintain,Regular Active,0
74711285,2023-01-06,2023-12-05,14,333,25.615384615384617,24,Active (0-30 days),Low Frequency,66087450,4720532.142857143,High Value,Healthy / Maintain,Valuable Active,0
83099894,2023-01-27,2023-12-28,14,335,25.76923076923077,1,Active (0-30 days),Low Frequency,24945250,1781803.5714285714,Regular Value,Healthy / Maintain,Regular Active,0
15728890,2023-01-07,2023-11-25,46,322,7.155555555555556,34,At Risk (31-60 days),High Frequency,208088250,4523657.608695652,Very High Value,High Priority,At-Risk Valuable,0
28311802,2023-04-13,2023-12-14,10,245,27.22222222222222,15,Active (0-30 days),Low Frequency,4049250,404925.0,Low Value,Healthy / Maintain,Regular Active,0
65536252,2023-01-07,2023-12-28,69,355,5.220588235294118,1,Active (0-30 days),High Frequency,111546950,1616622.463768116,High Value,Healthy / Maintain,Champions,0
79036670,2023-01-15,2023-12-22,16,341,22.733333333333334,7,Active (0-30 days),Low Frequency,99040450,6190028.125,High Value,Healthy / Maintain,Valuable Active,0
80609535,2023-01-06,2023-12-24,29,352,12.571428571428571,5,Active (0-30 days),Regular Frequency,16902650,582850.0,Low Value,Healthy / Maintain,Regular Active,0
42729728,2023-01-10,2023-10-22,19,285,15.833333333333334,68,High Risk (61-90 days),Regular Frequency,31701450,1668497.3684210526,Regular Value,Urgent Re-engagement,Standard Re-engagement,0
50987275,2023-01-23,2023-12-17,35,328,9.647058823529411,12,Active (0-30 days),Regular Frequency,20280650,579447.1428571428,Regular Value,Healthy / Maintain,Regular Active,0
82837772,2023-01-11,2023-12-18,61,341,5.683333333333334,11,Active (0-30 days),High Frequency,971379600,15924255.737704918,Very High Value,Healthy / Maintain,Champions,0
81395982,2023-01-12,2023-12-28,16,350,23.333333333333332,1,Active (0-30 days),Low Frequency,91293050,5705815.625,High Value,Healthy / Maintain,Valuable Active,0
82968848,2023-02-18,2023-12-29,14,314,24.153846153846153,0,Active (0-30 days),Low Frequency,8736150,624010.7142857143,Low Value,Healthy / Maintain,Regular Active,0
13238544,2023-01-20,2023-12-18,21,332,16.6,11,Active (0-30 days),Regular Frequency,105925200,5044057.142857143,High Value,Healthy / Maintain,Valuable Active,0
61341968,2023-03-03,2023-10-20,14,231,17.76923076923077,70,High Risk (61-90 days),Low Frequency,61192700,4370907.142857143,High Value,Urgent Re-engagement,High-Risk Valuable,0
83099927,2023-01-09,2023-12-18,15,343,24.5,11,Active (0-30 days),Low Frequency,17519100,1167940.0,Low Value,Healthy / Maintain,Regular Active,0
97648933,2023-02-22,2023-12-09,10,290,32.22222222222222,20,Active (0-30 days),Low Frequency,7749650,774965.0,Low Value,Healthy / Maintain,Regular Active,0
60293414,2023-01-04,2023-12-27,52,357,7.0,2,Active (0-30 days),High Frequency,87044200,1673926.923076923,High Value,Healthy / Maintain,Champions,0
33947941,2023-01-15,2023-12-12,19,331,18.38888888888889,17,Active (0-30 days),Regular Frequency,34956750,1839828.9473684211,Regular Value,Healthy / Maintain,Regular Active,0
37355826,2023-01-30,2023-11-08,17,282,17.625,51,At Risk (31-60 days),Low Frequency,19874200,1169070.5882352942,Low Value,Re-engagement,Standard Re-engagement,0
88342834,2023-01-05,2023-12-29,47,358,7.782608695652174,0,Active (0-30 days),High Frequency,222475400,4733519.14893617,Very High Value,Healthy / Maintain,Champions,0
86114615,2023-02-13,2023-12-23,11,313,31.3,6,Active (0-30 days),Low Frequency,15628700,1420790.9090909092,Low Value,Healthy / Maintain,Regular Active,0
66322746,2023-01-17,2023-12-19,21,336,16.8,10,Active (0-30 days),Regular Frequency,30349050,1445192.857142857,Regular Value,Healthy / Maintain,Regular Active,0
64487742,2023-01-20,2023-12-21,27,335,12.884615384615385,8,Active (0-30 days),Regular Frequency,13886150,514301.85185185185,Low Value,Healthy / Maintain,Regular Active,0
73007422,2023-01-04,2023-12-27,16,357,23.8,2,Active (0-30 days),Low Frequency,96136200,6008512.5,High Value,Healthy / Maintain,Valuable Active,0
96731456,2023-01-13,2023-12-29,34,350,10.606060606060606,0,Active (0-30 days),Regular Frequency,395463300,11631273.529411765,Very High Value,Healthy / Maintain,Valuable Active,0
25035072,2023-01-11,2023-12-25,82,348,4.296296296296297,4,Active (0-30 days),High Frequency,1193650350,14556711.585365854,Very High Value,Healthy / Maintain,Champions,0
54526276,2023-01-06,2023-12-26,29,354,12.642857142857142,3,Active (0-30 days),Regular Frequency,123028800,4242372.413793104,Very High Value,Healthy / Maintain,Valuable Active,0
89784650,2023-01-06,2023-12-01,10,329,36.55555555555556,28,Active (0-30 days),Low Frequency,148970650,14897065.0,Very High Value,Healthy / Maintain,Valuable Active,0
11141452,2023-01-07,2023-12-10,13,337,28.083333333333332,19,Active (0-30 days),Low Frequency,19050650,1465434.6153846155,Low Value,Healthy / Maintain,Regular Active,0
53608785,2023-01-06,2023-12-25,45,353,8.022727272727273,4,Active (0-30 days),High Frequency,247185600,5493013.333333333,Very High Value,Healthy / Maintain,Champions,0
37749074,2023-01-14,2023-10-13,10,272,30.22222222222222,77,High Risk (61-90 days),Low Frequency,6493100,649310.0,Low Value,Urgent Re-engagement,Standard Re-engagement,0
55837013,2023-01-13,2023-12-26,21,347,17.35,3,Active (0-30 days),Regular Frequency,33266850,1584135.7142857143,Regular Value,Healthy / Maintain,Regular Active,0
72745301,2023-01-09,2023-12-15,82,340,4.197530864197531,14,Active (0-30 days),High Frequency,160674200,1959441.463414634,Very High Value,Healthy / Maintain,Champions,0
74449242,2023-01-19,2023-12-23,19,338,18.77777777777778,6,Active (0-30 days),Regular Frequency,29433700,1549142.105263158,Regular Value,Healthy / Maintain,Regular Active,0
22413670,2023-01-17,2023-12-28,26,345,13.8,1,Active (0-30 days),Regular Frequency,112243500,4317057.692307692,High Value,Healthy / Maintain,Valuable Active,0
97386857,2023-02-11,2023-12-20,16,312,20.8,9,Active (0-30 days),Low Frequency,65296450,4081028.125,High Value,Healthy / Maintain,Valuable Active,0
49414507,2023-01-06,2023-12-19,30,347,11.96551724137931,10,Active (0-30 days),Regular Frequency,44687550,1489585.0,Regular Value,Healthy / Maintain,Regular Active,0
55050607,2023-01-12,2023-12-23,20,345,18.157894736842106,6,Active (0-30 days),Regular Frequency,78613900,3930695.0,High Value,Healthy / Maintain,Valuable Active,0
74449270,2023-01-09,2023-12-27,16,352,23.466666666666665,2,Active (0-30 days),Low Frequency,22300000,1393750.0,Regular Value,Healthy / Maintain,Regular Active,0
13369720,2023-01-19,2023-12-25,10,340,37.77777777777778,4,Active (0-30 days),Low Frequency,54313250,5431325.0,High Value,Healthy / Maintain,Valuable Active,0
93716856,2023-01-09,2023-11-25,10,320,35.55555555555556,34,At Risk (31-60 days),Low Frequency,28689600,2868960.0,Regular Value,Re-engagement,Standard Re-engagement,0
53346683,2023-02-13,2023-12-28,14,318,24.46153846153846,1,Active (0-30 days),Low Frequency,19231000,1373642.857142857,Low Value,Healthy / Maintain,Regular Active,0
71827840,2023-01-12,2023-12-26,14,348,26.76923076923077,3,Active (0-30 days),Low Frequency,57022500,4073035.714285714,High Value,Healthy / Maintain,Valuable Active,0
91488646,2023-01-11,2023-12-23,29,346,12.357142857142858,6,Active (0-30 days),Regular Frequency,52780650,1820022.4137931035,High Value,Healthy / Maintain,Valuable Active,0
37880207,2023-01-11,2023-12-27,30,350,12.068965517241379,2,Active (0-30 days),Regular Frequency,57649000,1921633.3333333333,High Value,Healthy / Maintain,Valuable Active,0
18874768,2023-03-11,2023-12-22,10,286,31.77777777777778,7,Active (0-30 days),Low Frequency,14647550,1464755.0,Low Value,Healthy / Maintain,Regular Active,0
83886479,2023-01-04,2023-12-24,52,354,6.9411764705882355,5,Active (0-30 days),High Frequency,307314300,5909890.384615385,Very High Value,Healthy / Maintain,Champions,0
56623507,2023-01-13,2023-12-15,12,336,30.545454545454547,14,Active (0-30 days),Low Frequency,7838400,653200.0,Low Value,Healthy / Maintain,Regular Active,0
33948053,2023-03-01,2023-12-01,14,275,21.153846153846153,28,Active (0-30 days),Low Frequency,54586100,3899007.1428571427,High Value,Healthy / Maintain,Valuable Active,0
23855509,2023-01-04,2023-12-29,166,359,2.175757575757576,0,Active (0-30 days),Very High Frequency,763636100,4600217.469879518,Very High Value,Healthy / Maintain,Champions,0
92406166,2023-01-04,2023-12-24,98,354,3.649484536082474,5,Active (0-30 days),Very High Frequency,447171450,4562973.979591837,Very High Value,Healthy / Maintain,Champions,0
44433819,2023-01-08,2023-12-27,132,353,2.6946564885496183,2,Active (0-30 days),Very High Frequency,617215800,4675877.2727272725,Very High Value,Healthy / Maintain,Champions,0
57803163,2023-02-15,2023-11-08,11,266,26.6,51,At Risk (31-60 days),Low Frequency,38869450,3533586.3636363638,Regular Value,Re-engagement,Standard Re-engagement,0
88211871,2023-02-04,2023-12-22,16,321,21.4,7,Active (0-30 days),Low Frequency,25849000,1615562.5,Regular Value,Healthy / Maintain,Regular Active,0
23331233,2023-01-12,2023-12-09,11,331,33.1,20,Active (0-30 days),Low Frequency,6188100,562554.5454545454,Low Value,Healthy / Maintain,Regular Active,0
35127720,2023-02-16,2023-12-14,24,301,13.08695652173913,15,Active (0-30 days),Regular Frequency,42987300,1791137.5,Regular Value,Healthy / Maintain,Regular Active,0
39190953,2023-01-16,2023-12-22,51,340,6.8,7,Active (0-30 days),High Frequency,68909250,1351161.7647058824,High Value,Healthy / Maintain,Champions,0
97911211,2023-01-09,2023-12-14,13,339,28.25,15,Active (0-30 days),Low Frequency,23036200,1772015.3846153845,Regular Value,Healthy / Maintain,Regular Active,0
30015915,2023-01-09,2023-12-06,18,331,19.470588235294116,23,Active (0-30 days),Low Frequency,58690800,3260600.0,High Value,Healthy / Maintain,Valuable Active,0
81527213,2023-02-01,2023-12-07,10,309,34.333333333333336,22,Active (0-30 days),Low Frequency,63188050,6318805.0,High Value,Healthy / Maintain,Valuable Active,0
98173365,2023-01-15,2023-12-20,15,339,24.214285714285715,9,Active (0-30 days),Low Frequency,28794150,1919610.0,Regular Value,Healthy / Maintain,Regular Active,0
92275136,2023-01-07,2023-12-23,53,350,6.730769230769231,6,Active (0-30 days),High Frequency,84793750,1599882.075471698,High Value,Healthy / Maintain,Champions,0
32768449,2023-01-04,2023-12-22,11,352,35.2,7,Active (0-30 days),Low Frequency,7779700,707245.4545454546,Low Value,Healthy / Maintain,Regular Active,0
54919619,2023-01-04,2023-12-18,50,348,7.1020408163265305,11,Active (0-30 days),High Frequency,62815200,1256304.0,High Value,Healthy / Maintain,Champions,0
43385283,2023-01-19,2023-12-29,23,344,15.636363636363637,0,Active (0-30 days),Regular Frequency,38449200,1671704.347826087,Regular Value,Healthy / Maintain,Regular Active,0
78512581,2023-01-24,2023-12-16,12,326,29.636363636363637,13,Active (0-30 days),Low Frequency,16837100,1403091.6666666667,Low Value,Healthy / Maintain,Regular Active,0
15598023,2023-02-14,2023-12-13,13,302,25.166666666666668,16,Active (0-30 days),Low Frequency,64948350,4996026.923076923,High Value,Healthy / Maintain,Valuable Active,0
27394508,2023-01-18,2023-12-29,13,345,28.75,0,Active (0-30 days),Low Frequency,7413400,570261.5384615385,Low Value,Healthy / Maintain,Regular Active,0
49938894,2023-01-05,2023-12-29,204,358,1.7635467980295567,0,Active (0-30 days),Very High Frequency,989116000,4848607.843137255,Very High Value,Healthy / Maintain,Champions,0
95683023,2023-01-04,2023-12-13,17,343,21.4375,16,Active (0-30 days),Low Frequency,9031550,531267.6470588235,Low Value,Healthy / Maintain,Regular Active,0
47317456,2023-01-04,2023-12-22,32,352,11.35483870967742,7,Active (0-30 days),Regular Frequency,15125300,472665.625,Low Value,Healthy / Maintain,Regular Active,0
68288977,2023-01-05,2023-12-15,10,344,38.22222222222222,14,Active (0-30 days),Low Frequency,56977050,5697705.0,High Value,Healthy / Maintain,Valuable Active,0
55837139,2023-01-06,2023-12-09,18,337,19.823529411764707,20,Active (0-30 days),Low Frequency,23798750,1322152.7777777778,Regular Value,Healthy / Maintain,Regular Active,0
86114772,2023-01-05,2023-12-04,26,333,13.32,25,Active (0-30 days),Regular Frequency,147320650,5666178.846153846,Very High Value,Healthy / Maintain,Valuable Active,0
21758419,2023-01-15,2023-12-24,35,343,10.088235294117647,5,Active (0-30 days),Regular Frequency,122170650,3490590.0,Very High Value,Healthy / Maintain,Valuable Active,0
76808666,2023-01-30,2023-12-23,14,327,25.153846153846153,6,Active (0-30 days),Low Frequency,52191700,3727978.5714285714,High Value,Healthy / Maintain,Valuable Active,0
99746267,2023-03-02,2023-12-27,19,300,16.666666666666668,2,Active (0-30 days),Regular Frequency,34646100,1823478.9473684211,Regular Value,Healthy / Maintain,Regular Active,0
11534818,2023-01-04,2023-12-27,226,357,1.5866666666666667,2,Active (0-30 days),Very High Frequency,1068450400,4727656.637168142,Very High Value,Healthy / Maintain,Champions,0
10879459,2023-01-21,2023-12-06,11,319,31.9,23,Active (0-30 days),Low Frequency,23613650,2146695.4545454546,Regular Value,Healthy / Maintain,Regular Active,0
99746277,2023-01-25,2023-12-19,14,328,25.23076923076923,10,Active (0-30 days),Low Frequency,25965800,1854700.0,Regular Value,Healthy / Maintain,Regular Active,0
86639082,2023-01-17,2023-10-17,12,273,24.818181818181817,73,High Risk (61-90 days),Low Frequency,18208200,1517350.0,Low Value,Urgent Re-engagement,Standard Re-engagement,0
73925100,2023-01-22,2023-12-29,17,341,21.3125,0,Active (0-30 days),Low Frequency,27284250,1604955.8823529412,Regular Value,Healthy / Maintain,Regular Active,0
68157933,2023-01-04,2023-12-29,1188,359,0.3024431339511373,0,Active (0-30 days),Very High Frequency,5620778050,4731294.654882154,Very High Value,Healthy / Maintain,Champions,0
96469497,2023-04-20,2023-10-28,10,191,21.22222222222222,62,High Risk (61-90 days),Low Frequency,6686800,668680.0,Low Value,Urgent Re-engagement,Standard Re-engagement,0
24510972,2023-01-08,2023-12-09,36,335,9.571428571428571,20,Active (0-30 days),High Frequency,52667900,1462997.2222222222,High Value,Healthy / Maintain,Champions,0
45220348,2023-01-06,2023-11-10,35,308,9.058823529411764,49,At Risk (31-60 days),Regular Frequency,157378950,4496541.428571428,Very High Value,Medium Priority,At-Risk Valuable,0
47448574,2023-01-06,2023-11-08,14,306,23.53846153846154,51,At Risk (31-60 days),Low Frequency,19499100,1392792.857142857,Low Value,Re-engagement,Standard Re-engagement,0
46268927,2023-01-17,2023-11-16,12,303,27.545454545454547,43,At Risk (31-60 days),Low Frequency,12840700,1070058.3333333333,Low Value,Re-engagement,Standard Re-engagement,0
33817088,2023-01-15,2023-12-23,52,342,6.705882352941177,6,Active (0-30 days),High Frequency,245383400,4718911.538461538,Very High Value,Healthy / Maintain,Champions,0
84017665,2023-01-05,2023-12-28,10,357,39.666666666666664,1,Active (0-30 days),Low Frequency,14355450,1435545.0,Low Value,Healthy / Maintain,Regular Active,0
